 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,95.000,34.500
2,0,0,0,0,82.000,42.500
3,0,121,121,121,69.500,51.500
4,0,89,89,89,59.500,60.500
5,0,0,0,0,50.500,71.000
6,0,255,255,255,40.500,80.500
7,0,188,188,188,34.500,89.000
8,0,0,0,0,28.500,100.500
9,0,0,0,0,21.000,115.500
10,0,80,80,80,15.500,127.000
11,0,0,0,0,12.000,137.500
12,0,58,58,58,8.500,151.000
13,0,0,0,0,6.500,166.000
14,0,0,0,0,5.500,183.000
15,0,50,50,50,4.500,198.000
16,0,16,16,16,7.000,216.500
17,0,0,0,0,9.500,230.000
18,0,255,255,255,14.000,242.500
19,0,0,0,0,17.500,254.500
20,0,0,0,0,23.500,269.000
21,0,0,0,0,30.000,282.000
22,0,255,255,255,43.000,273.500
23,0,255,255,255,55.500,266.000
24,0,143,143,143,65.000,261.000
25,0,255,255,255,59.500,248.000
26,0,80,80,80,54.500,236.500
27,0,0,0,0,52.000,224.500
28,0,0,0,0,50.000,213.500
29,0,255,255,255,48.500,202.000
30,0,255,255,255,47.500,191.500
31,0,255,255,255,48.000,173.000
32,0,255,255,255,50.500,157.500
33,0,255,255,255,54.500,142.500
34,0,143,143,143,63.500,131.000
35,0,255,255,255,68.000,117.500
36,0,255,255,255,74.500,109.000
37,0,255,255,255,86.500,96.500
38,0,255,255,255,95.500,91.000
